,SCIAN,MUN,genero,ocupacion,edad_num,edad_cat,sector,escolaridad,informal,municipio
2977,18,6,F,trabajador,31,"[25, 50)",Servicios,Primaria o Secundaria,0,apodaca
2978,5,6,H,trabajador,59,"[50, 60)",Industria manufacturera,Primaria o Secundaria,0,apodaca
2979,1,19,H,trabajador,75,"[65, 131)",Agricultura y ganadería,Licenciatura,0,san_pedro
2980,19,19,F,trabajador,36,"[25, 50)",Servicios,Primaria o Secundaria,1,san_pedro
2981,18,21,H,trabajador,45,"[25, 50)",Servicios,Carrera técnica o preparatoria,0,escobedo
2982,18,21,F,trabajador,43,"[25, 50)",Servicios,Carrera técnica o preparatoria,0,escobedo
2983,4,21,H,independiente,53,"[50, 60)",Construcción,Primaria o Secundaria,1,escobedo
2984,5,21,H,trabajador,22,"[18, 25)",Industria manufacturera,Licenciatura,0,escobedo
2985,5,21,F,trabajador,23,"[18, 25)",Industria manufacturera,Licenciatura,0,escobedo
2986,7,21,H,trabajador,49,"[25, 50)",Comercio,Licenciatura,0,escobedo
2987,5,21,H,trabajador,53,"[50, 60)",Industria manufacturera,Carrera técnica o preparatoria,0,escobedo
2988,19,26,H,trabajador,67,"[65, 131)",Servicios,Primaria o Secundaria,1,guadalupe
2989,14,26,F,trabajador,59,"[50, 60)",Servicios,Primaria o Secundaria,0,guadalupe
2990,4,26,H,trabajador,56,"[50, 60)",Construcción,Primaria o Secundaria,1,guadalupe
2991,7,26,H,independiente,34,"[25, 50)",Comercio,Carrera técnica o preparatoria,1,guadalupe
2992,19,26,H,trabajador,45,"[25, 50)",Servicios,Primaria o Secundaria,0,guadalupe
2993,5,26,H,trabajador,20,"[18, 25)",Industria manufacturera,Primaria o Secundaria,0,guadalupe
2994,5,6,H,trabajador,50,"[50, 60)",Industria manufacturera,Carrera técnica o preparatoria,0,apodaca
2995,7,6,H,trabajador,33,"[25, 50)",Comercio,Carrera técnica o preparatoria,0,apodaca
2996,5,6,F,trabajador,57,"[50, 60)",Industria manufacturera,Carrera técnica o preparatoria,0,apodaca
2997,5,6,H,trabajador,36,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,apodaca
2998,18,6,H,trabajador,38,"[25, 50)",Servicios,Carrera técnica o preparatoria,0,apodaca
2999,6,6,F,trabajador,35,"[25, 50)",Comercio,Licenciatura,0,apodaca
3000,4,6,H,trabajador,40,"[25, 50)",Construcción,Licenciatura,0,apodaca
3001,18,39,H,independiente,69,"[65, 131)",Servicios,Primaria o Secundaria,1,monterrey
3002,18,39,F,independiente,66,"[65, 131)",Servicios,Primaria o Secundaria,1,monterrey
3003,5,39,H,trabajador,20,"[18, 25)",Industria manufacturera,Primaria o Secundaria,1,monterrey
3004,5,39,H,trabajador,39,"[25, 50)",Industria manufacturera,Primaria o Secundaria,1,monterrey
3005,5,39,H,trabajador,22,"[18, 25)",Industria manufacturera,Primaria o Secundaria,1,monterrey
3006,14,39,H,trabajador,39,"[25, 50)",Servicios,Primaria o Secundaria,1,monterrey
3007,5,39,H,trabajador,30,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,monterrey
3008,6,39,H,trabajador,55,"[50, 60)",Comercio,Primaria o Secundaria,0,monterrey
3009,20,39,F,trabajador,38,"[25, 50)",Gobierno,Licenciatura,0,monterrey
3010,5,39,H,trabajador,27,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,monterrey
3011,7,39,F,independiente,22,"[18, 25)",Comercio,Primaria o Secundaria,1,monterrey
3012,4,39,H,trabajador,44,"[25, 50)",Construcción,Primaria o Secundaria,1,monterrey
3013,4,39,H,trabajador,18,"[18, 25)",Construcción,Primaria o Secundaria,1,monterrey
3014,18,39,F,independiente,43,"[25, 50)",Servicios,Primaria o Secundaria,1,monterrey
3015,6,39,H,trabajador,44,"[25, 50)",Comercio,Primaria o Secundaria,0,monterrey
3016,4,39,H,trabajador,22,"[18, 25)",Construcción,Primaria o Secundaria,1,monterrey
3017,8,48,H,independiente,44,"[25, 50)",Transporte y comunicaciones,Primaria o Secundaria,1,santa_catarina
3018,16,48,F,trabajador,17,"[15, 18)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
3019,5,48,H,trabajador,17,"[15, 18)",Industria manufacturera,Primaria o Secundaria,0,santa_catarina
3020,18,48,H,trabajador,21,"[18, 25)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
3021,9,48,H,trabajador,43,"[25, 50)",Otro,Primaria o Secundaria,0,santa_catarina
3022,16,48,F,trabajador,38,"[25, 50)",Servicios,Carrera técnica o preparatoria,1,santa_catarina
3023,4,48,H,trabajador,43,"[25, 50)",Construcción,Primaria o Secundaria,1,santa_catarina
3024,19,48,F,trabajador,63,"[60, 65)",Servicios,Primaria o Secundaria,1,santa_catarina
3025,4,48,H,trabajador,33,"[25, 50)",Construcción,Licenciatura,1,santa_catarina
3026,3,48,H,trabajador,55,"[50, 60)",Otro,Primaria o Secundaria,0,santa_catarina
3027,7,48,F,independiente,54,"[50, 60)",Comercio,Carrera técnica o preparatoria,1,santa_catarina
3028,3,48,F,trabajador,28,"[25, 50)",Otro,Licenciatura,0,santa_catarina
3029,3,48,H,trabajador,21,"[18, 25)",Otro,Licenciatura,0,santa_catarina
3030,16,48,H,trabajador,57,"[50, 60)",Servicios,Licenciatura,0,santa_catarina
3031,16,48,F,trabajador,53,"[50, 60)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
3032,16,48,F,trabajador,26,"[25, 50)",Servicios,Licenciatura,0,santa_catarina
3033,5,6,H,trabajador,47,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,apodaca
3034,5,6,H,trabajador,41,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,apodaca
